alpha_name,address_number,invoice_only,xh,xn,xd,xf,xp,xs,grand_total_2023,current_pay_term,net_days_to_pay,target_pay_term,country,commodity,sub_commodity
ELLSWORTH ADHESIVE SYSTEMS,70017193,,,15239.12,,1050.64,149874,,166163.76,N60,60,,US,CHEMICALS & GASES,
"EMCOR SERVICES NORTHEAST, INC.",70097369,,,80681,,,,,80681,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
EMJ,70018092,,,,,,252177.68,,252177.68,N45,45,,US,BRASS & FABRICATION,
"ENDRESS & HAUSER, INC. - GREENWOOD",70226819,,,16312.8,,,,,16312.8,N30,30,,US,PROFESSIONAL SERVICES,OTHER
"ENK CO., LTD.",70018810,,,2100,,,214368,,216468,N60,60,,KR,"STEEL, FABRICATION",
"ENTEGEE, INC.",70024220,199177.67,,,,,,,199177.67,N30,30,,US,CONTINGENT LABOR,ENGINEERING SOW
"ENVITA SOLUTIONS, LLC",70243298,,,78803,,,,,78803,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
EPEC ENIGINEERED TECHNOLOGIES,70019817,,,,,,3906.95,,3906.95,N30,30,,US,ELECTRONICS & ELECTROMECHANICAL,
ERNST & YOUNG - TORONTO,70248509,3767,,,,,,,3767,006,0,,CN,PROFESSIONAL SERVICES,CONSULTING
ESSCO CALIBRATION LABORATORY,70017257,6659.3,,37790.36,,,,,44449.66,S43,15,30,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
"ESSEX BROWNELL, INC.",70017259,,,,,,1418.93,,1418.93,N30,30,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
ESSIE AMIRE,70016067,7969.97,,,,,,,7969.97,006,0,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
ESTES EXPRESS LINES,70253090,6627.86,,,,,,,6627.86,006,0,,US,LOGISTICS,TRANSPORTATION
"ETCO, INC. AUTOMOTIVE DIV",70017269,,,,,,3942.21,,3942.21,N90,90,,US,ELECTRONICS & ELECTROMECHANICAL,
EUROFINS EAG MATERIALS SCIENCE LLC,70248498,,,25115,,,,,25115,N30,30,,US,PROFESSIONAL SERVICES,OTHER
"EVERGREEN TOOL COMPANY, INC",70017280,,,,,,27533.52,,27533.52,N45,45,,US,"CABLES, WIRE, INSULATION, OTHER",
EVERSOURCE,70016404,239194.25,,,,,,,239194.25,006,0,30,US,FACILITIES,ENERGY AND UTILITIES EQUIPMENT AND SERVICES
EVERSOURCE,70016768,40882.48,,,,,,,40882.48,S41,10,30,US,FACILITIES,ENERGY AND UTILITIES EQUIPMENT AND SERVICES
EVOQUA WATER TECHNOLOGIES LLC.,70093001,,,10188.64,,,,,10188.64,N30,30,,US,CONSUMABLE,NON INTEGRATOR PLANT CONSUMABLE
EXCELITAS NOBLELIGHT AMERICA LLC,70017484,,,1573.6,,,,,1573.6,S51,45,,US,PROFESSIONAL SERVICES,OTHER
F.M. CALLAHAN & SON INC -MALDEN MA,70044978,,,335856.14,,,,,335856.14,N30,30,,US,PROFESSIONAL SERVICES,OTHER
F.W. WEBB,70017490,,,97.84,,,222182.91,,222280.75,N30,30,,US,"FASTENERS, DISTRIBUTORS",
FAB FORM INC,70017301,,,2981.33,,16836.55,1379335.4,-15482.07,1383671.21,N30,30,,US,"STEEL, FABRICATION",
"FAISON OFFICE PRODUCTS, INC.",70042893,663.02,,,,,,,663.02,N60,60,,US,OTHER SERVICES,OFFICE PRODUCTS & SERVICES
FASTENAL,70017319,,,503.88,,,742.74,,1246.62,N45,45,,US,"FASTENERS, DISTRIBUTORS",
FAUSKE & ASSOCIATES,70248338,,,10000,,,,,10000,N60,60,,US,PROFESSIONAL SERVICES,CONSULTING
FDH ELECTRONICS,70218953,,,,,,3947.7,,3947.7,N30,30,,US,"FASTENERS, DISTRIBUTORS",
FEDERAL BRONZE CASTING IND INC,70017328,,,3250,,,215064.15,-30403.62,187910.53,S43,15,30,US,"STEEL, FABRICATION",
FEDEX,70017337,97752.31,,,,,,,97752.31,006,0,,US,LOGISTICS,TRANSPORTATION
"FEDPRO, INC.",70017334,,,1803.9,,,,,1803.9,S51,45,,US,PROFESSIONAL SERVICES,OTHER
"FINSIGHT GROUP, INC.",70255121,12750,,,,,,,12750,006,0,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
FIREFREEZE - DAMMAN (L/C),70095538,150,,,,,,,150,006,0,,SA,PROFESSIONAL SERVICES,OTHER
FIREMETRICS LLC,70215026,,,88838.9,,,,,88838.9,S40,1,,US,LOGISTICS,TRANSPORTATION
"FLEXLINE, INC.",70239806,,,862.5,,,31471.07,,32333.57,N90,90,,US,"CABLES, WIRE, INSULATION, OTHER",
FLORENCE-DARLINGTON TECHNICAL COLLEGE,70228446,,,,,,34732.35,,34732.35,N30,30,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
"FLS TRANSPORTATION SERVICES (USA), iNC.",70252951,67812.76,,,,,,,67812.76,006,0,,US,LOGISTICS,TRANSPORTATION
FLUKE ELECTRONICS,70017428,,,3447.2,,,,,3447.2,N30,30,,US,IT SERVICES,IT SOFTWARE
FM APPROVALS,70017307,18400,,170360,,,,,188760,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
FOUR POINTS BY SHERATON PHUKET PATONG,70254972,,,9698.06,,,,,9698.06,N30,30,,US,PROFESSIONAL SERVICES,SALES/ MARKETING/ COMMUNICATIONS SERVICES
"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",70256442,,,750,,,,,750,N30,30,,US,PROFESSIONAL SERVICES,OTHER
FSSA,70017479,5600,,,,,,,5600,006,0,,US,PROFESSIONAL SERVICES,OTHER
FUSION INCORPORATED   - WILLOUGHBY,70050010,,,,,,6678,,6678,N60,60,,US,CONSUMABLE,NON INTEGRATOR PLANT CONSUMABLE
"FUTURE METALS,INC.",70017488,,,,,,60229.66,,60229.66,S51,45,,US,BRASS & FABRICATION,
GAS APPLIANCE SERV TRAINING,70017511,4200,,,,,,,4200,006,0,30,US,CONSUMABLE,NON INTEGRATOR PLANT CONSUMABLE
GAS EQUIPMENT COMPANY,70017513,,,,,,348.32,,348.32,X30,30,,US,"STEEL, FABRICATION",
"GEMCOM,INC",70017537,,,,,,227272.5,,227272.5,N45,45,,US,SENSORS AND SWITCHES,
GEMS SENSORS,70017543,,,,,,,-167.76,-167.76,N30,30,,US,SENSORS AND SWITCHES,
"GEORG FISCHER HARVEL, LLC",70046033,,,,,,79081.8,,79081.8,N60,60,,US,"CABLES, WIRE, INSULATION, OTHER",
GILBERT LLP,70253349,1423583.22,,,,,,,1423583.22,006,0,,US,PROFESSIONAL SERVICES,CONSULTING
"GILTHROPE, WILLIAM",70062181,810.85,,,,,,,810.85,006,0,30,US,OTHER SERVICES,OFFICE PRODUCTS & SERVICES
"GITS MFG CO., INC",70017589,,,,,,2833.09,,2833.09,N45,45,,US,BRASS & FABRICATION,
GKN SINTER METALS COMPONENTS GMBH,70250437,,,2356.8,,,,,2356.8,N30,30,,DE,SENSORS AND SWITCHES,
GKN SINTER METALS FILTERS GMBH,70018779,,,,,,7890.7,,7890.7,N30,30,,DE,"STEEL, FABRICATION",
GLB MECHANICAL,70218077,,,22030,,,,,22030,N30,30,,US,PROFESSIONAL SERVICES,OTHER
GLOBAL BRANDS MANUFACTURE LTD.,70024883,,,849876.4,186281.31,70794.88,6623619.64,-975.38,7729596.85,N90,90,,CN,ELECTRONICS & ELECTROMECHANICAL,
GLOBAL INDUSTRIAL,70017608,,,1512.25,,,,,1512.25,N45,45,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
GLOBAL INDUSTRIAL EQUIPMENT,70017605,,,498.25,,,236,,734.25,N30,30,,US,"STEEL, FABRICATION",
"GLOBAL SYSTEMS INTEGRATION, INC.",70104613,3250,,,,,,,3250,N60,60,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
GLOBE TECHNOLOGIES CORP,70017614,,,,,,320001.56,,320001.56,N60,60,,US,CONSUMABLE,NON INTEGRATOR PLANT CONSUMABLE
GNUTTI CIRILLO SPA       - LUMEZZANE,70049765,,,,,,151940.48,,151940.48,N30,30,,IT,IT SERVICES,TELECOM
"GOYAL INDUSTRIES, INC",70017636,,,,,,51288.18,,51288.18,X45,45,,US,ELECTRONICS & ELECTROMECHANICAL,
GRAINGER,70022239,,,109274.26,,,,,109274.26,S62,75,,US,CONSUMABLE,NON INTEGRATOR PLANT CONSUMABLE
GRAINGER INC.,70017645,,,1350.81,,,23376.1,,24726.91,X90,90,,US,"FASTENERS, DISTRIBUTORS",
GRANITE CITY ELECTRIC SUPPLY CO,70253161,,,,,3597.96,88918.8,,92516.76,S02,25,45,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
GRANITE TELECOMMUNICATIONS LLC,70030699,645.49,,,,,,,645.49,S41,10,30,US,IT SERVICES,TELECOM
GRAYBAR ELECTRIC CO.,70017660,,,,,,206898.25,,206898.25,X45,45,,US,"CABLES, WIRE, INSULATION, OTHER",
GREENE RUBBER COMPANY,70017668,,,,,,870,,870,S41,10,30,US,"CABLES, WIRE, INSULATION, OTHER",
"GUGGENHEIM SECURITIES, LLC",70252439,1858159.32,,,,,,,1858159.32,S40,1,,US,PROFESSIONAL SERVICES,CONSULTING
HAMAMATSU CORP.,70017697,,,1056,,,,,1056,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
"HANNAY REELS, INC.",70017706,,,,,,20086.5,,20086.5,S15,30,45,US,"CABLES, WIRE, INSULATION, OTHER",
HARDINGE  INC.  - ELMIRA,70017712,,,1237.52,,,,,1237.52,S51,45,,US,PROFESSIONAL SERVICES,OTHER
"HARDLINE HEAT TREATING, INC.",70182123,,,4656,,,,,4656,N90,90,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"HARDWARE SPECIALTY CO., INC.",70017719,,,432415.08,,1585.25,326126.82,,760127.15,N45,45,,US,"FASTENERS, DISTRIBUTORS",
"HAWK VALVE, INC.",70250117,,,,,5628,94269,,99897,N30,30,,US,"VALVES  , SOURCE CONTROLLED",
HAZMATEAM,70017748,,,8500,,,,,8500,S41,10,30,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
HCL TECHNOLOGIES LTD - BPO SERVICES,70046369,17697,,,,,,,17697,N30,30,,IN,CONTINGENT LABOR,OTHER LEASED LABOR
"HEILIND ELECTRONICS, INC.",70017771,,,,,,3182.92,,3182.92,S41,10,30,US,"FASTENERS, DISTRIBUTORS",
HEISER LOGISTICS,70017772,,,,,,66902.42,,66902.42,N60,60,,US,"STEEL, FABRICATION",
"HEXAGON MANUFACTURING INTELLIGENCE, INC.",70252727,,,8131,,,,,8131,N30,30,,US,PROFESSIONAL SERVICES,OTHER
HOCHIKI AMERICA CORPORATION,70017807,,,,,,10467.64,,10467.64,N30,30,,US,PROFESSIONAL SERVICES,BUSINESS PROCESS OUTSOURCING (BPO)
HOGAN & VEITH P.A.,70253350,362583.4,,,,,,,362583.4,006,0,,US,PROFESSIONAL SERVICES,LEGAL SERVICES
HOOVER HEALTH ENTERPRISES LLC,70175113,,,1620,,,,,1620,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
"HORIZON AIR SERVICES, INC.",70253121,452.6,,,,,,,452.6,006,0,,US,LOGISTICS,TRANSPORTATION
"HOULIHAN LOKEY CAPITAL, INC.",70253352,764666.17,,,,,,,764666.17,006,0,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
"HOWARD PRODUCTS, INC.",70017841,,,,,,274.8,,274.8,X45,45,,US,BRASS & FABRICATION,
"HUDSON LOCK, INC.",70017852,,,,,,4826.36,,4826.36,S02,25,45,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
HYBRID MOON LLC,70248496,,,14700,,,,,14700,N45,45,,US,PROFESSIONAL SERVICES,
"HYDRO POWER CO., LTD",70048009,,,,,,169210,,169210,CSH,0,30,TW,"VALVES  , SOURCE CONTROLLED",
"HYDRO TEST PRODUCTS, INC.",70017865,,,1400,,,,,1400,S04,40,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
"IAR SYSTEMS SOFTWARE, INC.",70017871,,,7464,,,,,7464,S51,45,,US,IT SERVICES,TELECOM
iAUTOMATION     - BEVERLY,70015844,,,,,331.25,18246.25,,18577.5,N45,45,,US,SENSORS AND SWITCHES,
IDS INC.,70095476,12000,,,,,,,12000,S43,15,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
IEP TECHNOLOGIES LLC,70096168,,,94887.84,238685.42,,16900,,350473.26,N30,30,,US,"STEEL, FABRICATION",
IGNACIO ZARAZUA GONZALEZ,70255119,,,1115,,,,,1115,N30,30,,MX,PROFESSIONAL SERVICES,CONSULTING
IKONIX USA LLC - LAKE FOREST,70019601,,,8398,,,,,8398,S51,45,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"INDUSTRIAL GAS TECHNOLOGY, INC",70092645,,,14964,,,,,14964,S64,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
INDUSTRIAL HEARING TESTING - AUBURN,70023973,,,1150,,,,,1150,S44,20,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
INDUSTRIAL SEAMLESS FLOORING CORP.,70146799,,,15300,,,,,15300,N45,45,,US,FACILITIES,FACILITY CONSTRUCTION AND PROJECTS
INFOTRAC - LEESBURG,70040218,,,1100,,,,,1100,N60,60,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
INTERNATIONAL EXPOSITION CO.,70018003,,,26845,,,,,26845,S51,45,,US,PROFESSIONAL SERVICES,SALES/ MARKETING/ COMMUNICATIONS SERVICES
INTERNATIONAL RADIATION SAFETY CONSULT,70137975,,,3095,,,,,3095,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
INTERTEK TESTING SERVICES,70017909,,,13600,,,,,13600,N45,45,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
INTERTEK TESTING SERVICES NA LTD,70017908,,,19246.24,,,,,19246.24,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
IRON MOUNTAIN RECORDS MANAGEMENT,70045557,308.67,,,,,,,308.67,N30,30,,US,OTHER SERVICES,OFFICE PRODUCTS & SERVICES
JEDDY VENTURES LLC - SERIALCOMM - WALL T,70062306,,,,,,5698.1,,5698.1,N30,30,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
"JENSEN HUGHES, INC.",70017855,,,55500,30250,,,,85750,N45,45,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
JETT BARNES,70239517,,,350,,,,,350,006,0,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
JL ELECTRIC,70018067,,,3502.5,,,,,3502.5,006,0,30,US,FACILITIES,ENERGY AND UTILITIES EQUIPMENT AND SERVICES
JOB GMBH,70018072,,,,,,206440.5,,206440.5,S06,7,45,DE,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
JP MORGAN CHASE,70044895,427701.81,,,,,,,427701.81,006,0,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
KAUFFMAN ENGINEERING - LEBANON,70230049,,,,,,4297.44,,4297.44,N60,60,,US,"CABLES, WIRE, INSULATION, OTHER",
"KB GRAPHICS, INC.",70248547,,,16311.5,,,,,16311.5,N30,30,,US,PROFESSIONAL SERVICES,SALES/ MARKETING/ COMMUNICATIONS SERVICES
KELLEY DRYE & WARREN LLP,70256620,776146.68,,,,,,,776146.68,006,0,,US,PROFESSIONAL SERVICES,LEGAL SERVICES
KELTRON CORPORATION,70248108,,,6970,,,90695.62,,97665.62,N30,30,,US,ELECTRONICS & ELECTROMECHANICAL,
"KENNETH CROSBY, INC.",70016887,,,,,,56.92,,56.92,S51,45,,US,"STEEL, FABRICATION",
KEVIN STEEL CORPORATION,70179469,,,,,,125895,,125895,N30,30,,TW,BRASS & FABRICATION,
KEYENCE CORP OF AMERICA,70122116,,,6322,,,,,6322,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
KEYSTONE COMPONENTS INC,70018139,,,,,,32.45,,32.45,N45,45,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
KFI U.K. LIMITED,70017586,1190.27,,4502.72,,,272699.74,-15035.58,263357.15,N30,30,,GB,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
KIDDE BRASIL,70018162,210633.05,,,,,,,210633.05,N30,30,,BR,PROFESSIONAL SERVICES,FINANCIAL SERVICES
KIDDE CANADA INC.,70019214,168139.96,,,,,,,168139.96,N30,30,,CA,PROFESSIONAL SERVICES,FINANCIAL SERVICES
KIDDE PRODUCTS,70047463,4285.66,,,,,,,4285.66,N30,30,,GB,PROFESSIONAL SERVICES,OTHER
KIDDE SAFETY,70015727,,,,200713.3,,289131.06,,489844.36,N30,30,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
KIMBALL ELECTRONICS GROUP,70019298,,,1193926.64,2420.28,,1912444.49,-1453.38,3107338.03,N30,30,,US,ELECTRONICS & ELECTROMECHANICAL,
KLT CARTING INC,70218857,,,41471.05,,,,,41471.05,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
KOORSEN FIRE & SECURITY,70139652,,,4000,,,,,4000,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
KRONOS,70018189,,,7880.86,,,,,7880.86,N30,30,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
KTBS LAW LLP,70253353,239031.06,,,,,,,239031.06,006,0,,US,PROFESSIONAL SERVICES,LEGAL SERVICES
L&T INFOTECH,70107198,,,10207.2,,,,,10207.2,N60,60,,IN,PROFESSIONAL SERVICES,CONSULTING
L&T TECHNOLOGY SERVICES LTD - EDISON,70046894,,,53098.77,,,,,53098.77,N75,75,,US,CONTINGENT LABOR,ENGINEERING SOW
LABELMASTER,70016071,,,,,,200.28,,200.28,N45,45,,US,"PACKAGING, SKIDS, & LABELS",
LADD INDUSTRIES,70018206,,,,,,7623.8,,7623.8,N30,30,,US,ELECTRONICS & ELECTROMECHANICAL,
LAMINATED PLASTICS COMPANY,70018216,,,,,,61.92,,61.92,X45,45,,US,ELECTRONICS & ELECTROMECHANICAL,
LANDAUER INC.,70018221,,,3011.4,,,,,3011.4,S27,30,,US,PROFESSIONAL SERVICES,SALES/ MARKETING/ COMMUNICATIONS SERVICES
LARSON TOOL & STAMPING CO.,70018238,,,,,,14101.13,,14101.13,X45,45,,US,"STEEL, FABRICATION",
"LCN, INCORPORATED",70018246,,,20000,,,,,20000,S51,45,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
"LEE PLASTICS, INC.",70018259,,,,,,50765.22,-500,50265.22,N60,60,,US,"CABLES, WIRE, INSULATION, OTHER",
LEE SPRING COMPANY,70018260,,,,,,5298,,5298,X30,30,,US,"STEEL, FABRICATION",
LEGACY SALES LLC,70226264,238040.65,,,,,,,238040.65,006,0,,US,PROFESSIONAL SERVICES,OTHER
LELAND LIMITED INC,70018268,,,,,,239772.84,,239772.84,S61,50,,US,"STEEL, FABRICATION",
L'HOTELLIER - ANTONY  CEDEX,70223163,,,,,,83370.06,-2261.48,81108.58,N60,60,,FR,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
"LIBERTY SUPPLY,INC",70018285,,,960,,,,,960,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
LIFE SUPPORT SYSTEMS,70018287,,,855.63,,,,,855.63,N45,45,,US,PROFESSIONAL SERVICES,HR SERVICES
LINDE GAS & EQUIPMENT INC,70019133,-688.37,75533.87,31439.96,,,,,106285.46,N45,45,,US,CHEMICALS & GASES,
LINDE INC.,70019131,,,418476.68,,,105018.35,,523495.03,N45,45,,US,CHEMICALS & GASES,
LLOYD'S REGISTER NORTH AMERICA,70018310,,,15800,,,,,15800,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
LONE STAR EMBROIDERY,70231130,,,6220.5,,,,,6220.5,N30,30,,US,PROFESSIONAL SERVICES,SALES/ MARKETING/ COMMUNICATIONS SERVICES
"LUCAS-MILHAUPT, INC",70018329,,,4448.37,,,11044.78,,15493.15,N30,30,,US,BRASS & FABRICATION,
M & G INDUSTRIES INC.,70018534,,,,,,19387.5,,19387.5,N45,45,,US,"CABLES, WIRE, INSULATION, OTHER",
MANCHESTER TANK CO.,70018378,,,55980.72,,,11427999.04,-62325.61,11421654.15,S43,15,30,US,"STEEL, FABRICATION",
"MANCINI SHEET METAL, INC.",70178856,,,1662.38,,,,,1662.38,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"MARK WISKUP COMMUNICATIONS, INC.",70256058,10000,,,,,,,10000,006,0,,US,PROFESSIONAL SERVICES,SALES/ MARKETING/ COMMUNICATIONS SERVICES
MASS CRANE+HOIST SERVICE INC.,70018417,,,4456.1,,,,,4456.1,N45,45,,US,FACILITIES,FACILITY CONSTRUCTION AND PROJECTS
MASSACHUSETTS FIRE TECHNOLOGIES,70214447,,,20225,,,,,20225,N30,30,,US,OTHER SERVICES,OFFICE PRODUCTS & SERVICES
MATHWORKS,70222811,,,2996.25,,,,,2996.25,N30,30,,US,PROFESSIONAL SERVICES,OTHER
"MATRIX METAL PRODUCTS, INC",70018430,,,,,,83088.21,,83088.21,N60,60,,US,"STEEL, FABRICATION",
"MATT J. MCDONALD CO., INC.",70018448,,,,,,11882.56,,11882.56,N45,45,,US,BRASS & FABRICATION,
MATTERHACKERS - FOOTHILL RANCH,70222892,,,318.65,,,,,318.65,N30,30,,US,PROFESSIONAL SERVICES,OTHER
MCGILL HOSE AND COUPLING,70049600,,,,,,430,,430,X60,60,,US,"CABLES, WIRE, INSULATION, OTHER",
MCGILL HOSE AND COUPLING INC.,70018451,,,1070,,36334.36,1362610.4,,1400014.76,N60,60,,US,"CABLES, WIRE, INSULATION, OTHER",
MCMASTER CARR,70018464,,,6200.88,,248.35,495.4,,6944.63,X60,60,,US,"FASTENERS, DISTRIBUTORS",
MCMASTER CARR   -    ROBINSONVILLE,70018463,,,49428.7,,,1419.5,,50848.2,N60,60,,US,"FASTENERS, DISTRIBUTORS",
MCMASTER-CARR SUPLY CO IN,70018461,,,175.2,,,122863,,123038.2,N60,60,,US,"FASTENERS, DISTRIBUTORS",
MCPHERSON-AYERS MANUF COR,70018465,,,,,,275,,275,X30,30,,US,ELECTRONICS & ELECTROMECHANICAL,
"METAL TRONICS, INC.",70018527,,,,,,12253.7,,12253.7,N45,45,,US,"STEEL, FABRICATION",
"METAPLASTICS, INC.",70018502,,13530.5,945,,,,,14475.5,N60,60,,US,PROFESSIONAL SERVICES,OTHER
METHODS MACHINE TOOLS INC.,70018511,,,2517.44,,,,,2517.44,N45,45,,US,PROFESSIONAL SERVICES,OTHER
MICON INDUSTRIES,70018538,,27500,,,,,,27500,S51,45,,US,OTHER SERVICES,OFFICE PRODUCTS & SERVICES
MICRO MOTION INC. - BOULDER,70047480,,,7442.43,,,,,7442.43,N30,30,,US,FACILITIES,FACILITY CONSTRUCTION AND PROJECTS
MICROCAD TRAINING & CONSULTING,70103825,,,29402.19,,,,,29402.19,N45,45,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"MICRON PRODUCTS, INC.",70049901,,,,,,63495.49,,63495.49,N30,30,,US,"FASTENERS, DISTRIBUTORS",
MIDDLESEX GASES & TECHNOLOGIES,70018559,,,768.09,,,,,768.09,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
MIDDLESEX GASES & TECHNOLOGIES,70018560,,,13961.64,,,,,13961.64,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
MILJOCO-WEISS LLC,70047113,,,,,1612.5,177822.72,,179435.22,N30,30,,US,SENSORS AND SWITCHES,
"MILLENNIUM LOGISTICS MANAGEMENTS, LLC",70253092,46700,,,,,,,46700,006,0,,US,LOGISTICS,TRANSPORTATION
"MINUTEMAN SPRING COMPANY, INC.",70214164,,,,,,42797.53,,42797.53,N45,45,,US,"FASTENERS, DISTRIBUTORS",
MONROE EFI LLC,70253327,,,,,,234.75,,234.75,N30,30,,US,"STEEL, FABRICATION",
MORAN ENVIRONMENTAL RECOVERY,70045660,,,1820,,,,,1820,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
"MORRIS, NICHOLS, ARSHT & TUNNEL LLP",70252299,1113916.01,,,,,,,1113916.01,006,0,,US,PROFESSIONAL SERVICES,LEGAL SERVICES
MOTION INDUSTRIES,70018630,,,1815.6,,,,,1815.6,S44,20,30,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
MOTT CORPORATION,70018632,,,,,,27020,-2296.7,24723.3,CSH,0,30,US,"STEEL, FABRICATION",
MOUSER ELECTRONICS,70018636,,,13198.15,,1450,50461.55,,65109.7,N60,60,,US,"FASTENERS, DISTRIBUTORS",
"MRC GLOBAL (USA), INC.",70018086,,,,,1244.15,422354.92,,423599.07,N45,45,,US,"VALVES  , SOURCE CONTROLLED",
"MSA SAFETY SALES, LLC",70249053,,,,,,28579.82,,28579.82,N30,30,,US,BRASS & FABRICATION,
MSC IND SUPPLY,70018643,,,195.48,,,6701.76,,6897.24,N45,45,,US,"FASTENERS, DISTRIBUTORS",
MSC INDUSTRIAL SUPPLY CO - MELVILLE,70018640,,,4479.81,,,3920.76,,8400.57,X30,30,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
MSC INDUSTRIAL SUPPLY CO.,70057144,,,2745.14,,,,,2745.14,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
MSP DESIGN GROUP,70016435,,,734.97,,,,,734.97,N45,45,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
MUELLER BRASS COMPANY,70018650,,,,,,14165.04,,14165.04,N30,30,,US,BRASS & FABRICATION,
N.E.INDUSTRIAL COATINGS,70018740,,4450.5,31775.15,,,,,36225.65,S51,45,,US,OTHER SERVICES,OFFICE PRODUCTS & SERVICES
NAFED,70024050,595,,595,,,,,1190,S43,15,,US,PROFESSIONAL SERVICES,SALES/ MARKETING/ COMMUNICATIONS SERVICES
NATIONAL INSTRUMENTS,70018703,,,30739,,,,,30739,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"NATIONAL SINTERED ALLOYS, INC.",70052708,,,,,,25957.95,,25957.95,N60,60,,US,BRASS & FABRICATION,
NCC GROUP SOFTWARE RESILIENCE - ALPHARET,70248024,,,2215,,,,,2215,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
NEC TROPHIES,70021997,,,786.88,,,,,786.88,S40,1,30,US,OTHER SERVICES,OFFICE PRODUCTS & SERVICES
NESCO,70018750,,,,,,92362.28,,92362.28,S43,15,30,US,ELECTRONICS & ELECTROMECHANICAL,
NEW ENGLAND CONTROLS,70016351,,,3096.64,,,729041.95,,732138.59,N60,60,,US,"VALVES  , SOURCE CONTROLLED",
"NEW ENGLAND FABRICATED METALS, INC.",70252300,,,,,,3526.15,,3526.15,N30,30,,US,BRASS & FABRICATION,
"NEW ENGLAND KEYBOARD, INC.",70252923,,,11005,,,,,11005,N30,30,,US,PROFESSIONAL SERVICES,OTHER 
NEW ENGLAND TOOL CORPORATION,70029873,,,14171.35,,,,,14171.35,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
NEW HAMPSHIRE STAMPING CO.,70018799,,,,,,46310,,46310,N60,60,,US,"STEEL, FABRICATION",
